Date,spy,baseline,optimized,spy_vami,baseline_vami,optimized_vami
11/11/19,-0.001909756,-0.012486428,-0.008850078,1149.931889,1038.055641,1242.072358
11/12/19,0.002107994,0.008166828,0.0068707,1152.355938,1046.533263,1250.606265
11/13/19,0.000323625,-0.003166522,0.019577825,1152.728869,1043.219392,1275.090415
11/14/19,0.00145584,0.000977887,-0.00062784,1154.407057,1044.239543,1274.289862
11/15/19,0.007236311,-0.002802669,-0.002300512,1162.760706,1041.312884,1271.358343
11/18/19,0.000737676,0.021293641,0.00924433,1163.618446,1063.486228,1283.111199
11/19/19,-0.000288443,0.007598039,-0.001318289,1163.282809,1071.566638,1281.419688
11/20/19,-0.003718783,0.00476861,-0.005647005,1158.956812,1076.676521,1274.183504
11/21/19,-0.001608907,-0.012595772,0.003588837,1157.092159,1063.114949,1278.756341
11/22/19,0.00222387,0.007058053,-0.002579317,1159.665381,1070.618471,1275.458022
11/25/19,0.007750193,0.018530946,-0.014115594,1168.653011,1090.458044,1257.454175
11/26/19,0.002265692,0.020982263,-0.000444225,1171.300819,1113.338322,1256.895582
11/27/19,0.004457463,0.012851494,0,1176.521849,1127.646383,1256.895582
11/28/19,0,2.1637E-07,-0.00421903,1176.521849,1127.646627,1251.592702
11/29/19,-0.003708634,-0.01017561,-0.002967015,1172.15856,1116.172135,1247.879207
12/2/19,-0.008494798,-0.039683906,0.007500126,1162.201309,1071.878065,1257.238459
12/3/19,-0.006706456,0.0073251,-2.24E-06,1154.407057,1079.729679,1257.235647
12/4/19,0.006170247,-0.012788195,-0.002268764,1161.530034,1065.921885,1254.383276
12/5/19,0.001797984,-0.020473986,-0.002579317,1163.618446,1044.098215,1251.147823
12/6/19,0.00913403,0.009187619,0.006637601,1174.246972,1053.690991,1259.452443
12/9/19,-0.003144155,-0.004562707,0.000151789,1170.554958,1048.883308,1259.643614
12/10/19,-0.001115076,-0.007079297,-0.001309381,1169.2497,1041.457951,1257.99426
12/11/19,0.002838644,-0.005647005,0.00226887,1172.568784,1035.576833,1260.848485
12/12/19,0.008619045,0.011820802,-0.01278746,1182.675206,1047.818182,1244.725435
12/13/19,0.000599123,-0.008096329,-0.002482749,1183.383775,1039.334701,1241.635094
12/16/19,0.006870037,0.00891081,-0.000807542,1191.513664,1048.596015,1240.632422
12/17/19,0.000219092,0.005023001,0.004137062,1191.774716,1053.863115,1245.764996
12/18/19,6.25841E-05,-0.002377619,0.007058053,1191.849302,1051.35743,1254.557671
12/19/19,0.004099002,0.018877021,0.002013721,1196.734695,1071.203926,1257.084001
12/20/19,0.004362705,-0.004032267,-0.020473986,1201.955695,1066.884546,1231.34648
12/23/19,0.001527765,0.007227818,0.00821182,1203.792,1074.595793,1241.458075
12/24/19,3.11313E-05,0.00432357,0.020364013,1203.829476,1079.241884,1266.739143
12/25/19,0,9.366E-07,0.007054987,1203.829476,1079.242895,1275.675971
